,x,xdot,theta,theta_dot
903,-4.68,-0.64,-0.04,0.02
904,-4.74,-0.60,-0.04,0.02
905,-4.80,-0.57,-0.03,0.02
906,-4.86,-0.53,-0.03,0.02
907,-4.91,-0.50,-0.03,0.03
908,-4.96,-0.47,-0.03,0.03
909,-5.01,-0.44,-0.02,0.03
910,-5.05,-0.42,-0.02,0.03
911,-5.09,-0.39,-0.02,0.03
912,-5.13,-0.37,-0.01,0.03
913,-5.17,-0.35,-0.01,0.03
914,-5.20,-0.33,-0.01,0.04
915,-5.24,-0.32,-0.00,0.04
916,-5.27,-0.30,-0.00,0.05
917,-5.30,-0.28,0.00,0.06
918,-5.33,-0.27,0.01,0.07
919,-5.35,-0.25,0.02,0.08
920,-5.38,-0.24,0.02,0.09
921,-5.40,-0.22,0.03,0.11
922,-5.42,-0.21,0.05,0.14
923,-5.45,-0.19,0.06,0.17
924,-5.46,-0.17,0.08,0.21
925,-5.48,-0.14,0.10,0.26
926,-5.50,-0.11,0.12,0.32
927,-5.51,-0.08,0.16,0.40
928,-5.51,-0.03,0.20,0.50
929,-5.52,0.03,0.25,0.63
930,-4.46,-0.77,-0.04,0.02
931,-4.53,-0.72,-0.04,0.02
932,-4.61,-0.68,-0.04,0.02
933,-4.68,-0.64,-0.04,0.02
934,-4.74,-0.60,-0.04,0.02
935,-4.80,-0.57,-0.03,0.02
936,-4.86,-0.53,-0.03,0.02
937,-4.91,-0.50,-0.03,0.02
938,-4.96,-0.47,-0.03,0.02
939,-5.01,-0.44,-0.02,0.02
940,-5.05,-0.42,-0.02,0.03
941,-5.09,-0.39,-0.02,0.03
942,-5.13,-0.37,-0.02,0.03
943,-5.17,-0.35,-0.01,0.03
944,-5.21,-0.33,-0.01,0.03
945,-5.24,-0.31,-0.01,0.04
946,-5.27,-0.30,-0.00,0.04
947,-5.30,-0.28,-0.00,0.05
948,-5.33,-0.27,0.00,0.05
949,-5.35,-0.25,0.01,0.06
950,-5.38,-0.24,0.02,0.07
951,-5.40,-0.23,0.02,0.09
952,-5.43,-0.21,0.03,0.11
953,-5.45,-0.20,0.04,0.13
954,-5.47,-0.18,0.06,0.16
955,-5.48,-0.16,0.07,0.20
956,-5.50,-0.13,0.09,0.25
957,-5.51,-0.11,0.12,0.31
958,-5.52,-0.07,0.15,0.38
959,-5.53,-0.03,0.19,0.48
960,-5.53,0.03,0.23,0.59
961,-4.53,-0.72,-0.04,0.02
962,-4.61,-0.68,-0.04,0.02
963,-4.68,-0.64,-0.04,0.02
964,-4.74,-0.61,-0.04,0.02
965,-4.80,-0.57,-0.03,0.02
966,-4.86,-0.54,-0.03,0.02
967,-4.91,-0.50,-0.03,0.02
968,-4.96,-0.47,-0.03,0.02
969,-5.01,-0.45,-0.03,0.02
970,-5.05,-0.42,-0.02,0.02
971,-5.10,-0.39,-0.02,0.02
972,-5.13,-0.37,-0.02,0.03
973,-5.17,-0.35,-0.02,0.03
974,-5.21,-0.33,-0.01,0.03
975,-5.24,-0.31,-0.01,0.03
976,-5.27,-0.30,-0.01,0.03
977,-5.30,-0.28,-0.00,0.04
978,-5.33,-0.27,-0.00,0.04
979,-5.36,-0.25,0.00,0.05
980,-5.38,-0.24,0.01,0.06
981,-5.40,-0.23,0.02,0.07
982,-5.43,-0.21,0.02,0.08
983,-5.45,-0.20,0.03,0.10
984,-5.47,-0.18,0.04,0.12
985,-5.49,-0.17,0.05,0.15
986,-5.50,-0.15,0.07,0.19
987,-5.52,-0.13,0.09,0.23
988,-5.53,-0.10,0.11,0.29
989,-5.54,-0.07,0.14,0.36
990,-5.55,-0.03,0.18,0.45
991,-5.55,0.02,0.22,0.56
992,-4.61,-0.68,-0.04,0.02
993,-4.68,-0.65,-0.04,0.02
994,-4.74,-0.61,-0.04,0.02
995,-4.80,-0.57,-0.03,0.02
996,-4.86,-0.54,-0.03,0.02
997,-4.91,-0.51,-0.03,0.02
998,-4.96,-0.48,-0.03,0.02
999,-5.01,-0.45,-0.03,0.02
1000,-5.05,-0.42,-0.02,0.02
1001,-5.10,-0.40,-0.02,0.02
1002,-5.14,-0.37,-0.02,0.02
1003,-5.17,-0.35,-0.02,0.02
1004,-5.21,-0.33,-0.02,0.03
1005,-5.24,-0.31,-0.01,0.03
1006,-5.27,-0.30,-0.01,0.03
1007,-5.30,-0.28,-0.01,0.03
1008,-5.33,-0.27,-0.00,0.04
1009,-5.36,-0.25,-0.00,0.04
1010,-5.38,-0.24,0.00,0.05
1011,-5.41,-0.23,0.01,0.06
1012,-5.43,-0.21,0.01,0.07
1013,-5.45,-0.20,0.02,0.08
